counter,start,storeDLT,storeKfrags,finish
0,1650469198877,1650469209214,1650469212963,1650469220499
1,1650469220711,1650469226958,1650469232078,1650469241398
2,1650469241966,1650469260867,1650469261217,1650469262982
3,1650469263300,1650469267799,1650469272157,1650469279336
4,1650469279417,1650469283912,1650469284484,1650469288984
5,1650469290335,1650469305472,1650469307363,1650469311214
6,1650469312458,1650469319849,1650469322998,1650469328308
7,1650469328698,1650469338717,1650469343297,1650469350560
8,1650469351071,1650469355923,1650469356277,1650469358597
9,1650469358929,1650469363708,1650469364051,1650469365729
